titles,brand_names,images_links,prices,offers,Gender,Type
0,NP2576WM01 Analog Watch - For Women,Titan,https://rukminim1.flixcart.com/image/612/612/l13whow0/watch/h/c/c/-original-imagcqzchcngfd7a.jpeg?q=70,"₹3,754",20% off,Women,Analog
1,PWRM-King Day And Date Functioning High Quality Combo O...,Piaoma,https://rukminim1.flixcart.com/image/612/612/l08gsy80/watch/z/i/3/1-pwrm-king-piaoma-men-original-imagc2k8ch8vkstx.jpeg?q=70,₹270,86% off,Unisex,none
2,77085PP03 Volt Analog Watch - For Men,SONATA,https://rukminim1.flixcart.com/image/612/612/l02r1jk0/watch/v/y/f/-original-imaf8qx8rmzayqrs.jpeg?q=70,₹524,25% off,Men,Analog
3,LCS-8188 TRENDING DAY & DATE FUNCTIONING Analog Watch ...,LOIS CARON,https://rukminim1.flixcart.com/image/612/612/k7z3afk0/watch/t/c/x/lcs-8188-lois-caron-original-imafq3k9ztzdkyhe.jpeg?q=70,₹319,82% off,Unisex,Analog
4,Gents Exclusive 3 Designer Combo Casual+PartyWear+Form...,Rizzly,https://rukminim1.flixcart.com/image/612/612/k48rwcw0/watch/d/z/y/gents-exclusive-3-designer-combo-rizzly-original-imaf5pu2gyaznhmc.jpeg?q=70,₹343,61% off,Unisex,none
5,Mesh Strap All Blue Men Watch & Free Premium King Stone...,WHITE STONE,https://rukminim1.flixcart.com/image/612/612/xif0q/watch/b/j/i/2-mesh-strap-all-blue-men-watch-free-premium-king-stone-bracelet-original-imagggbz5cvavzhk.jpeg?q=70,₹200,59% off,Men,none
6,NQ1805NM02 Analog Watch - For Men,Titan,https://rukminim1.flixcart.com/image/612/612/kg2l47k0-0/watch/z/t/5/1805nm02-titan-original-imafwe7aupegsngp.jpeg?q=70,"₹5,476",15% off,Men,Analog
7,Brand - A Digital Watch With Square LED Shockproof Mult...,hala,https://rukminim1.flixcart.com/image/612/612/xif0q/watch/k/l/x/2-brand-a-digital-watch-with-square-led-shockproof-multi-original-imagha9hmrbvn4kg.jpeg?q=70,₹258,74% off,Unisex,Digital
8,38024PP25 Minimalists Analog Watch - For Men,Fastrack,https://rukminim1.flixcart.com/image/612/612/ksw4ccw0/watch/6/b/c/38024pp25-fastrack-men-original-imag6cu9xkhbgz4y.jpeg?q=70,₹680,20% off,Men,Analog
9,VH000008C Analog Watch - For Women,VAN HEUSEN,https://rukminim1.flixcart.com/image/612/612/kg8avm80-0/watch/2/f/c/vh000008c-van-heusen-original-imafwgaaukt5qyc8.jpeg?q=70,"₹1,350",54% off,Women,Analog
10,HMTY-7008 ORIGINAL GOLD PLATED DAY & DATE FUNCTIONING F...,HYMT,https://rukminim1.flixcart.com/image/612/612/ku1k4280/watch/q/3/j/1-hmty-7008-hymt-men-original-imag79f5qgbyn4rn.jpeg?q=70,₹470,84% off,Unisex,none
